# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 188 5 41 2051 2253885 1 /home/armen/personal/tmp/git_playground_2025/.git/modules/sub/gitest/HEAD
DUPTYPE_WITHIN_SAME_TREE -188 8 41 2051 2253898 1 /home/armen/personal/tmp/git_playground_2025/.git/modules/sub/gitest/refs/remotes/origin/master
DUPTYPE_FIRST_OCCURRENCE 3673 7 42 2051 2263657 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/_object-gops.js
DUPTYPE_WITHIN_SAME_TREE -3673 8 42 2051 2263656 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_object-gops.js
DUPTYPE_FIRST_OCCURRENCE 3929 7 43 2051 2264330 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/es7.symbol.async-iterator.js
DUPTYPE_WITHIN_SAME_TREE -3929 8 43 2051 2264329 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/es7.symbol.async-iterator.js
DUPTYPE_FIRST_OCCURRENCE 7004 8 44 2051 2264675 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/function/name.js
DUPTYPE_WITHIN_SAME_TREE -7004 9 44 2051 2264676 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/function/name.js
DUPTYPE_FIRST_OCCURRENCE 7260 8 46 2051 2263435 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_add-to-unscopables.js
DUPTYPE_WITHIN_SAME_TREE -7260 8 46 2051 2263437 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/library/_add-to-unscopables.js
DUPTYPE_FIRST_OCCURRENCE 7167 8 65 2051 2264834 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/symbol/species.js
DUPTYPE_WITHIN_SAME_TREE -7167 9 65 2051 2264835 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/symbol/species.js
DUPTYPE_FIRST_OCCURRENCE 7169 8 69 2051 2264889 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/symbol/to-primitive.js
DUPTYPE_WITHIN_SAME_TREE -7169 9 69 2051 2264891 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/symbol/to-primitive.js
DUPTYPE_FIRST_OCCURRENCE 7171 8 69 2051 2264938 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/symbol/unscopables.js
DUPTYPE_WITHIN_SAME_TREE -7171 9 69 2051 2264939 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/symbol/unscopables.js
DUPTYPE_FIRST_OCCURRENCE 41 2 73 2051 2251559 1 /home/armen/personal/tmp/git_playground_2025/.git/description
DUPTYPE_WITHIN_SAME_TREE -41 5 73 2051 2253784 1 /home/armen/personal/tmp/git_playground_2025/.git/modules/sub/gitest/description
DUPTYPE_FIRST_OCCURRENCE 7111 8 74 2051 2263846 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/regexp/constructor.js
DUPTYPE_WITHIN_SAME_TREE -7111 9 74 2051 2263848 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/regexp/constructor.js
DUPTYPE_FIRST_OCCURRENCE 7041 8 74 2051 2263845 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/number/constructor.js
DUPTYPE_WITHIN_SAME_TREE -7041 9 74 2051 2263847 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/number/constructor.js
DUPTYPE_FIRST_OCCURRENCE 7160 8 76 2051 2264565 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/symbol/is-concat-spreadable.js
DUPTYPE_WITHIN_SAME_TREE -7160 9 76 2051 2264566 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/symbol/is-concat-spreadable.js
DUPTYPE_FIRST_OCCURRENCE 7018 8 79 2051 2263905 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/math/deg-per-rad.js
DUPTYPE_WITHIN_SAME_TREE -7018 9 79 2051 2263906 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/math/deg-per-rad.js
DUPTYPE_FIRST_OCCURRENCE 7032 8 79 2051 2264748 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/math/rad-per-deg.js
DUPTYPE_WITHIN_SAME_TREE -7032 9 79 2051 2264749 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/math/rad-per-deg.js
DUPTYPE_FIRST_OCCURRENCE 7042 8 80 2051 2263935 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/number/epsilon.js
DUPTYPE_WITHIN_SAME_TREE -7042 9 80 2051 2263936 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/number/epsilon.js
DUPTYPE_FIRST_OCCURRENCE 3949 7 80 2051 2264875 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/web/timers.js
DUPTYPE_WITHIN_SAME_TREE -3949 8 80 2051 2264874 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/web/timers.js
DUPTYPE_FIRST_OCCURRENCE 3947 7 83 2051 2264477 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/web/immediate.js
DUPTYPE_WITHIN_SAME_TREE -3947 8 83 2051 2264476 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/web/immediate.js
DUPTYPE_FIRST_OCCURRENCE 3555 7 83 2051 2263794 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/es7/asap.js
DUPTYPE_WITHIN_SAME_TREE -3555 7 83 2051 2263795 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/asap.js
DUPTYPE_WITHIN_SAME_TREE -3555 8 83 2051 2263796 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/es7/asap.js
